Inventor Name,Patent IDs,CPC Classes
Kyle Sorrells,12209615,F16C
Yoshimasa Hashimura,5849732,
Pete Claussen,11623665; 11845475; 11845476; 12060090; 12139177; 12365367; 12466447; 8820247,B60K; B60L; B60Y; B61C; B61G; B61H; H02J; H02K; H02P
Nicholas M. Sampas,10518241; 10538796; 10550425; 10684199; 10711269; 10914658; 11243148; 11535889; 11940359; 12281302; 12298210; 4923299; 5585639; 5774213; 5812272; 5900949; 6084991; 6218118; 6403314; 6591196; 6750963; 6768820; 6993172; 7006927; 7027629; 7122303; 7198939; 7206438; 7330606; 7399844; 7412085; 7979215; 8036835; 8389218; 8478537; 8530157; 8570518; 8685642; 9255245; 9260747; 9771575; 9898578,B01J; B01L; C12M; C12N; C12P; C12Q; G01N; G01Q; G06F; G06T
Kenichi Suematsu,10002740; 10074510; 10446404; 7138629; 7365324; 7425703; 7741601; 7928382; 8431892; 8742341; 8796621; 8946631; 9105445; 9406480; 9760984; 9852878,G01N; G06T; H01J; H01L; H04J; H04L
Siegfried Woerner,4371879; 5243819; 6660359; 6729127; 7836688; 8220253; RE31827,
James Christophersen,4565966; 4866706; 5077756,
Erik Johannes Maria Janssen,6501223; 9980688,A61B
Maria Thereza Perez,9610456,A61N; B82Y; H01L; Y02E
Hans Hinsken,4230857; 4284790; 4325863; 4338244; 4407993; 4408051; 4440887; 4611016,
Jose Manuel Guzman Colin,10183631; 10288099; 10723280,B60R; F16B
Gerald Edward Sokol,5039501; 5588477; 5679041; 7574884,
Cynthia K. Groseth,5830541; 6399206,
Rama Shankar,11077103; 11974996; 12269830; 9187409,A61K; C07C; C07D
Laurent Scallie,10325580; 7628702; 8122459; 8475282; 8528244,G06F; G10H
Michael Miyake,5424920; 5701233,
Manoj Guthala,10176144,G06F; H04L
Chih-Hsung Huang,8750576,
Ahn Yu Jin,8551878,
Evan Miller,10502723; 10536396; 10768834; 11075852; 11255623; 11280571; 11516148; 11519692; 11712636; 11761732; 11870709; 12152856; 12460888; 8701020; 9843536; D1100069,A61B; A63H; F41A; F41C; F41G; G01N; G06F; H04L
Gregory Reneff,10145842; 12372516,B01L; G01N
Vikramjeet Singh Sandhu,11277421; 11394731; 11411839; 11632412; 11726858; 12386708; 9055080; 9965622,G06F; G06N; H04L; H04W
Chang-Hwan Suk,6604570,
David Ian Watson,11547337,A61B
Jang-Bog Ju,10074674; 10082695; 10423027; 10690979; 11099419; 11169408; 11837589; 11856803; 11882728; 12010893; 12207522; 12302669; 12471429; 12514040; 7675590; 9508299,G02F; G09F; G09G; H01L; H10H; H10K
Kenji Okuyama,4641010; 4743735; 6480297; 6710282; 6815634; 6841756; 7009139; 7015417; 7019256; 7022939; 7408130; 7707376; 7861040; 8060781,
Glenn A. Otten,6074610,
"Robert E. Erklin, Sr.",5119546; 5222292; 5279415,
Cheng-Chi Fang,5946708; 6332176; 6539518,
Bo-Rong Lee,10378583,F16C
Darrell O. Bartz,8352486,
Donald L. Emmel,7398469,
Thomas J. Calcaterra,D351093,
Satoshi Nagahara,8290608; 8549907; 9851713; 9884721; 9971982,B65G; G05B; G06F; G06Q; G07C; Y02P; Y02T
Benjamin Rosete,8439698,
Kouji Nishibe,4186643; 5100704,
John L. Bernard,9745822,E21B
Masaru Hanayama,4640863; 5935703,
Yasutaka Orita,5618545,
Alfa Arzate,6412337,
Veeraprakasam Veeragurunathan,9736984,A01D
Harold Czegledi,6393526; 6442651,
Gunter Herms,4018259,
Juergen Patzlaff,6566519; 6616859; 6723138,
Edgar P. Heimer,4056673; 4145337; 4622312; 4649131; 4732972; 4734399; 4772547; 4957737; 4959352; 5084442; 5563044; 5696089; 5846936,
Michael Constatin von Kannewurff,11264739; 11855367; 12476394,H01R
Tamrakar Nipun Ram,9317282,G06F
William Gonzalez,10290458; 12450427; 12481250; 7405646; 7592893; 8810420; D414553; D528674; D647182; D650557,B24B; G04D; G06F; H01H
Craig Leonard Sutton,6496823,
Ana POMBO,10526639,C12N; C12Q; G16B
Shunchang Yu,12478241,A47L; G05D; G06T; G06V
Michel Veron,7390872; 7413863; 7700553; 7842462; 8440790,
Victor R. Notelteirs,3991337; 4069437; 4081708; 4101798; 4180758; 4314176; 4331900; 4367428; 4370587; 4396858; 4414484; 4495436; 4570104; 4689519; 4728847; 4857709; 4894519; 5001388,
Michael Klinck,10414315; 10596943; 11390204; D658962; D728448; D728449; D778805; D796417,B32B; B60N; B60Y; E01F; E04F; F16L
John Frederick Cornhill,10149601; 10874286; 11076743; 11491265; 12207790; 9986893,A61B; A61F; A61M
Hugh Crocker,8113043,
Vasily I. Bocharov,4239997; 4254349,
Tai W. Kwok,4972903; 5296199; 5386073,
Yun-Kyu Kang,9312535,C01B; C01P; H01M; Y02E; Y02P; Y10T
Richard Willingale,5479469,
Meng-Fang Wu,5167436,
David M. Paden,10597055,B61L; G05D; H04B
William Lee Richardson,5815656,
Yoshiyuki Nakatamari,8344700,
Bodo Graebner,6513628,
Andrew Russell Lutkus,10424933; 10644510; 11050260; 11316471; 11569782; 12003213; 12494739; 9397504; 9923379,G05F; G06Q; H01H; H01L; H02J; H02M; H02S; Y02B; Y02E; Y04S
Vivekananda Pani,9658771,G06F
Akira Menjiu,4806179,
Steven D. Barnes,6950802; 7930203,
Takeo Asakura,11542679; 11549233; 11795068; 9718698,B01J; C01F; C01P; C02F; E02F; G01G; Y10T
Rana Sadeghi Chegani,11717177,A61B; G06N
Samraat Chakraborti Ghosh,D796791,
Teresa Katz,5410784; 5689867,
Yeng-Ming Chen,6805279,
Motoki Sugi,8269269,
Chiong Yew Lai,10782723; 10833668; 11687111,G05F; H03K
Lawrence Salibra,10601829; 10637666; 10880076; 11159326,G06F; H04L
Charles C. Zhou,10841424; 11070673; 8903756; 9026373; 9323837; 9792404,G06F; G06N; G10L; H04M
Cho-Hsuan Wu,8884816,G01S
Katie Ozamiz,D759492; D773312; D776542; D782911; D784810; D784818; D791607; D798155; D799325; D802433; D804315; D825333; D845779; D848271; D886618,
John M. Pidhimy,7147159,
Mary CRUM,12092641; 12214298,B01D; C12Q; G01N
Norihide Tooyama,6609878; 6837673,
Joseph Haupert,D361715; D660692,
Adrie Landa,6166115; 6306978; 6583205; 6743846; 8653167,
Mitunobu Machida,4863995,
Michael Zirnstein,5424445; 5677384; 5798147; 5852104; 5863879; 5914072; 6165971; 6365637; 6509012; 6579846; 6984451,
Frank Pflueger,10010818; 10071330; 10179302; 10184434; 10220334; 10233876; 10252193; 10279298; 10300418; 10316804; 10343091; 10384158; 10399010; 10399012; 10464007; 10525396; 10610810; 10702812; 10737201; 10773193; 10808660; 10898833; 11027227; 11161064; 11701602; 11794130; 12064717; 12318714; 12390750; 7874431; 8298409; 9284925; 9289710; 9409104; 9638147; 9687768; 9759170; 9861924; 9914085; RE46593,B01D; B65G; F01M; F01N; F02M; F16N; G01F; Y10T
Floyd Briggs,5473907,
Eun Joung Yoo,6485712; 6896910,
Sheng-Yen Ho,8189439,
Sebastian Wicka,10798782,H05B
Charles J. Kis,4643037; 4699276; 5829932,
Samuel B. King,4231756; 4255158; 5724255,
"Laurence E. Futch, Jr.",4618348; 4684372; 4793826; 4943390; RE36983,
John K.S. Chia,7579144; 8198293,
Edward Eugene Getty,4719190; 4798667; 4929800; 5055218; 5234617; 5431848; 5677272; 5798326; 5804542; 6020294; 6066611; 6119705; 6362151,
Jonas Tysso,7969820,
Andrew B. Lewis,10401199; 10447388; 10454573; 10495491; 10534031; 10623091; 10623092; 10928546; 10972180; 10972181; 11431409; 11438059; 12196604; 5920194; 6127827; 6236217; 6297736; 6480635; 6552548; 6650798; 6728662; 7742157; 7764363; 9148219; 9154223; 9435668; 9465126; 9768863; 9787394; 9909903; 9945717,B61L; G01D; G01H; G01M; G01R; G01V; H04B
Patrizio Mattei,10385022; 10633384; 10640472; 10647719; 10654857; 10669268; 10669285; 10676446; 10738053; 10787459; 10800786; 10849881; 10882857; 10889588; 10913745; 11059794; 11098048; 11352330; 11505573; 11673888; 11819532; 6610685; 6657060; 6686381; 6696467; 6703397; 6727261; 6787558; 6844345; 6897222; 7012073; 7022707; 7064134; 7122555; 7166589; 7205309; 7253197; 7253281; 7411093; 7572823; 7619101; 7632829; 7645776; 7674815; 7678818; 7691876; 7696200; 7713996; 7718666; 7723538; 7745477; 7799933; 7858645; 7879845; 7935707; 7977358; 8030308; 8039487; 8063042; 8071586; 8071628; 8138175; 8153805; 8227613; 8344027; 8349893; 8445674; 8471004; 8673946; 8748434; 8765730; 8987307; 9090565; 9493486; 9802944,A61K; A61P; C07B; C07C; C07D; C07F; C07K
V̩ronique HEBERT,10597745; 10697052; 11466335; 11827948; 12054799; 4910079,B23K; B32B; C21D; C22C; C23C
Charles Glen Peterson,10019235; 10044504; 10291399; 10564933; 10574461; 10587402; 10972189; 11442698; 11743049; 5966224; 8483394; 8929554; 9002009; 9287994; 9680640; 9680641; 9819418; 9866379; 9887976,G06F; H04B; H04K; H04L; H04W
"Gabriel Pedro, Jr.",D414939; D420803,
Bryan D Phillips,4492353; 9975172,B22D; B29C; G05B; G06Q
James L. Chambers,5029717; 5348048,
Kenneth D. Zabielski,4402682; 4417753; 4508534; 4724028; 6465558; 6649681; 6723399,
Gerard E. Schommer,4181357,
Arturo Caballero,11837195,A63F; G06F; G06T; G09G
Martin Dugas,11097498,B29C; B29K; B29L
Qianxian Chen,D1020692; D1095490,
Alexander B. Postnikov,10191066; 9012610; 9964549,A61K; C07K; G01N
Xifeng Wan,10284298; 10516923; 10756841; 11038617; 11374674; 11652564; 11916803,H04B; H04J; H04L; H04Q
Yongkoo Park,11978223; 12327367,G06T; G06V; H04N
"James T. Paul, Jr.",4163003; 5066433; 5098688; 5268158; 5525180,
Frederick Umminger,10022625; 10055018; 10073516; 10210666; 10332242; 10425643; 10616551; 10623735; 10775878; 11442532; 11899835; 12167225; 12302085; 12407998; 6594601; 6704671; 9744449; 9769589; 9779554; 9928728,A63F; G02B; G06F; G06T; G08B; G08C; G09G; G10L; H04N; H04S
Roger Erle Norris,5806972; 6010230; 6210025; 6231213,
Naoya Tamada,4742739; 6405483,
Terrance E. Gough,4861999,
Hsuan-Ho Chuang,12182579,G06F
Masanori Sueyoshi,6820503; 8128731,
Hiroshi Jomura,7246818,
Dries Van Den Bossche,9771344,A61K; C07D
Kaleb Von Berg,10458277; 10570776; 10935080; 10961869; 11293307; 9702404; 9869206; 9890650,F01D; F02C; F04D; F05D; F16C; F16N
Gary Otake,6676995; 6689411; 6749887; 6881578; 7172728,
Ross Wetmore,7680932,
Jean-Michael Farce,D505718,
Wesley G. Sjodahl,D246935,
Erwin Kohler,5573562,
Roy Malka,10955423; 11810671,A61B; G01N; G06F; G06N; G16H
Selcuk Ozyurt,10895527; 11181473,B63C; G01N
Christian Lerche,6617131; 9272093,A61K; A61M; G06F
Uwe Pfannmoller,8969488,B01F; B29B; C08G
Juanwen Yu,12274245,A01K
"Kebbie J. Turner, Sr.",4421286,
Ethan Roston,D1071939; D1095534,
Sachiyo Kataoka,5690258; 5711466; D393363,
Antonio Facciuolo,9879057,A61K; C07K; G01N
Robert H. Robichaud,4270544,
Mohan T. Chiruvolu,11259808; 11534163; 11707274; 11890011; 11974743,A61B
Charles Bryce Hutchison,4078117,
Katerina Otrubova,10093630,C07D
Mituaki Nakamura,6215914,
Jin Won Jung,10071170; 11404098; 11486546; 11814723; 11948795; 12120896; 12125510; 12284811; 12356866; 7316753; 7879159; 8109248; 8308467,A61K; B05D; B32B; B82B; C07K; C23C; C30B; F17C; G01R; G11C; H01L; H10B; H10K; H10N; Y10T
Romy Fain,10088414; 11473855; 8487514,F25B; F28F; G01N; H01L; H05K
Mikhail Kats,10791304; 10816815; 11733535; 11879783; 12025812; 8093492; 8188413; 8188415; 8378281; 8453328; 8536504; 8686334; 8759138; 8848273; 9331228; 9923112; 9952096; D708933; D709750; D720607,B82Y; G01J; G02B; G02C; G02F; H01L; H01Q; H02S; H04N; Y02E; Y02P; Y10S
Duk Kyu Bae,10205052; 10355169; 10916681; 11316059; 11476388; 7768025; 7834374; 7867885; 8039281; 8399901; 8482018; 8624288; 9530936,H01L
Geeta Desai Chennubhotla,5841988; 6977948,
Sihua Tang,D1073395,
Toyohisa Oda,4178417,
"George Dabney, JR.",12281269; 8496786,C10G; F28F
Mitsuo Hatada,6801113; 7145348,
Jan Doise,10720336; 10825683; 10840090; 12072626; 9899220,B81C; C09D; C30B; G03F; H01L
Masahiro Kanai,4650736; 4661427; 4675263; 4678733; 4696881; 4696882; 4696883; 4696884; 4701392; 4701393; 4705730; 4705731; 4705732; 4705733; 4705734; 4705735; 4716048; 4717585; 4717586; 4720443; 4726963; 4728528; 4771015; 4772486; 4772570; 4778692; 4784874; 4800173; 4801468; 4818563; 4830890; 4851302; 4853251; 4868014; 4869931; 4888062; 4898118; 4908329; 4908330; 4914052; 4926229; 4951602; 4959106; 4971832; 4998503; 5002617; 5002618; 5006180; 5007971; 5008726; 5024706; 5028488; 5038713; 5114770; 5126169; 5130170; 5178904; 5178905; 5192717; 5220181; 5244698; 5266116; 5294285; 5296036; 5358987; 5366554; 5382531; 5391232; 5397395; 5468521; 5482557; 5510151; 5514217; 5520740; 5523126; 5527391; 5559464; 5575855; 5589007; 5629054; 5714010; 5720826; 5766349; 5769963; 5897332; 5919310; 5927994; 5928722; 5946587; 5968274; 5976257; 6031198; 6093290; 6096389; 6113732; 6153013; 6153823; 6159763; 6162988; 6223684; 6261862; 6271055; 6273955; 6287943; 6306267; 6312411; 6313430; 6338872; 6350489; 6367502; 6367920; 6368944; 6397775; 6413794; 6436797; 6447612; 6470823; 6472296; 6482668; 6495392; 6526910; 6530341; 6531654; 6547922; 6551471; 6562400; 6576061; 6587380; 6587381; 6602347; 6632284; 6638359; 6654282; 6667240; 6707720; 6707742; 6720037; 6738291; 6744106; 6755515; 6785182; 6787478; 6800539; 6809963; 6811816; 6812164; 6822926; 6829165; 6833155; 6846521; 6855377; 6858087; 6865128; 6868008; 6877458; 6878241; 6881684; 6894361; 6900514; 6914815; 6922357; 6923324; 6926934; 6949174; 7031198; 7050332; 7126203; 7139193; 7211708; 7300142; 7324146; 7474346; 7582185; 7587989; 7632704; 7692506; 7786790; 7808334; 7812681; 7849744; 7849746; 7859351; 7868623; 7871156; 7895894; 8026771; 8240204; 8298031; 8618889; 9388507; 9813037,C01B; C30B; G01C; H03F; H03G
Frank J. Glaister,3933726; 4637955; 4666642; 4844982; 4988566,
Ian Mac BELL,12510467,G01N
Charles Daniel Bavington,10034906; 10294308; 6991810; 9453082,A23L; A23V; A61K; A61Q; C08B; C12P
Charles J. Kryzak,6301247; 6322257; 6491446; 6504841; 6685363; 6896421; 6987619; 7295727; 7393145; 8611706,
Vincent C. Derilo,D482270,
Anton Stern,10128913; 10296822; 11444591; 12068807; 7324040; 8315585; 8867989; 9576237; 9760822; 9928458,G06K; H03F; H04B; H04L; H04W
Le Teng Weng,D925602; D962288,
Ross Cohen,10229218; 10545966; 10891348; 10963468; 11042599; 6981180; 7406627; 7793157; 9143468; 9418117; 9449050,G06F; H04L
Ryuji Maeda,5876884; 6388737; 6528425; 7040306; 7142060; 7414676; 7528502; 8063997; 8432064; 8522744; 8624432,
Steven G. Trabert,5142208; 5898533; 5920439; 5926339; 5963400; 5973869; 5992783; 6018429; 6023385; 6075666; 6166870; 6236525; 6322015; 6430008; 6710967; 6744594; 6819528; 6898036; 6906888; 6912104; 7328138; 7388724; 7411759; 7551380; 7660069; 7986485; 8824083; 9177580; 9378764; 9916860,G11B
Alex Yoon,10339456; 10968405; 11041128; 5377087; 7592259; 8133812; 8244315,B01J; C10G; G06N; H04L; H04M; H04W
Kerry L. Willis,H1442,
Andrey Prokofiev,8545942,
CHING-TUAN WANG,6981381,
Scott D. Carty,6978270; 7043497,
John C. Mcfarlane,7863892,
Clive J. Roberts,4687144,
Shaun C. Dawson,D689268,
Joseph M. Breen,5016367,
Klaus Moerl,6924890,
Randolf K̦hn,6803431; 6844290; 6887958; 7081557,
"Lawrence D. Adams, Jr.",7255379,
Gerhard Raussendorf,4506920,
Dmitry S. Sizov,10193013; 10418519; 10431723; 10446712; 10490691; 10516081; 10591774; 10714655; 10734542; 10923626; 10964864; 11404400; 11967586; 12153233; 12310146; 12315852; 7615389; 7965752; 7983317; 8121165; 8189639; 8358673; 8379684; 8897329; 9601659; 9865772,B82Y; G02B; G02F; G06F; H01L; H01S; H10H
Michael Burghard,11515680; 11677202,H01R
Sheldon W. Hower,5572269; 5802409; 5805942,
Cordell E. Claude,7175397; 7896021; 8322994,
Silvia Lorandi,D642222,
R. William Poorman,4025110,
Xiaona Wang,10432281; 10951332; 11051182; 11134406; 11147076; 11411668; 11496204; 11855928; 11870551; 12021269; 12101833; 12136961; 12262313; 12382328; 12408045; 9718854; 9938281,A61K; C07D; C07H; C12N; C12Q; C12Y; H01M; H04B; H04J; H04L; H04W
Yugeswar Deenoo,10172135; 10187840; 10284407; 10382992; 10448404; 10462774; 10470198; 10512008; 10536312; 10608858; 10779196; 10813085; 11122587; 11184816; 11184877; 11233557; 11284445; 11336500; 11357059; 11382136; 11394447; 11419173; 11463923; 11477789; 11528668; 11546815; 11595953; 11612001; 11641605; 11659538; 11689280; 11716704; 11722960; 11723106; 11804891; 11812488; 11838781; 11844113; 11848718; 11848811; 11856614; 11871360; 11877337; 11889368; 11902033; 11956822; 11963237; 11985559; 11997696; 12035187; 12047819; 12101673; 12101719; 12119918; 12133189; 12150107; 12212982; 12231941; 12231974; 12256244; 12262275; 12267906; 12279326; 12301326; 12323286; 12382542; 12402177; 12408220; 12439308; 12495428; 12507308; 9474009; 9801232,H04B; H04J; H04L; H04W; Y02D
Alexander Henricus Waltherus Van Eeuwijk,10015864; 10039172; 10074030; 10112057; 10178740; 10455668; 10776971; 10928014; 11015765; 11028977; 11519563; 11674671; 12452978; 7692646; 8382319; 9591721; 9613433; 9769911; 9814123; 9860963; 9872362; 9942966; 9947156,A61N; F21K; F21S; F21V; F21Y; F24D; G01C; G02B; G06F; G06K; G06Q; G06T; G07C; G08C; H04B; H04L; H04M; H04N; H04W; H05B; Y02B
Stephen R. Korfonta,D806379,
Yea-Yuan B. VanEgeren,8386597,
Vaidehi Krishnan,8188112,
Nalin S. Pradeep,7773771,
Jacob S. Mangum,11094995; 12427543,B05D; C23C; H01G; H01M; Y02T
Riccardo Fumagalli,6640712; 6675709; D1042893; D1044038; D1048466; D1067471,
Megan Callanan,11364022; 5934533; 6010051; D400353; D983568,A61B
Zhixiang Qian,9925960,B05B; B08B; B60S
Timothy S. Trzaska,D500946,
William D. Cottrell,10596842; 4744718; 7637566; 7874612; 8336959; 9073464,A47B; A47C; B41J; B60N; B60R; F16B; Y10T
Lee L. Reneau,10493389; 10688424; 10960288; 11208829,A45F; A63B; B01D; C11B; E04H; F16C
Yutaro Aoki,10900119; 11466043; 11807652; 12061025; 12092380; 12291541; 12410203; 12473309,C01B; C01P; C07F; C09D; C23C; F16K; F25B; H01L; H10K
Yuuji Yoshitomi,4730474; 5307687; 6757169; 6809927; 6885556; 7137483,
Cliff R. Mure,10227428; 10913831; 11028191; 11078306; 11149136; 11203653; 11267918; 12049527; 5304588; 6982304; 7915357; 8129484; 8378029; 9637567,B01J; B29C; B29K; B29L; C08F; C08J; C08L; F16L
Albertus Johannes Maria Wigchert,6136264; 8945972,
Ervin Hartmann,4704341,
Seiji Hiraide,4289575,
Yueting Zhou,11215283; 12345336; 7325015,C23C; C25D; F16J
Bruno Schorter,4086533; 4086565; 4204158; 4800436,
Hai Deng,10975188; 11215368; 12056519; 12379657; 6485786; 6864192; 7214474; 7303985; 7391501; 7674390; 7747161; 7756414; 7867687,C07C; C08F; F24C; G03F; G06F
Doominique Savignac,6240005,
Young Dong Yoo,10391067,A61K; A61P; Y02A
Sui Xiao,8332472; 8554079; 8661105; 8868747,H04L
Ryuzo Ishigaki,5074962; 5786056,
Michelle Michiko Ansai,11302347; 11523212; 11558693; 11688418; 11800281; 12425766,G10L; H04R; H04S
Kiyoshi Komikawa,11873002,B60K; B60W; G01C
Bindu Francis,11328330; 11830012,G06Q
Gil-Yoon Kim,5933861; 8380867; 8572273; 8655338; 8806048; 8873590; 9071884; 9144014; 9246966; 9386065; 9503240; 9674502; 9912716; 9954923; 9984010,G06F; G11B; H04L; H04N; H04W; Y02B
Ramon Alfonso Palacios Durazo,9940656,G06Q
Hiroshi Mitsuyama,7956473; 7977700; 8680599,
Wanjun Xie,11358136,B01J; C07K; C12N; C12Q; G01N
Fred A. Roberts,4290148,
Joseph Leonard Moroso,10099276; 10099283; 10099284; 10118217; 10137499; 10220461; 10731487; 10774683; 11826830; 6796769; 7484928; 7914253; 8146250,B22C; B22D; B22F; B23B; B23H; B23K; B23Q; B33Y; F01D; F04D; F05D; F23R; Y02P
Heinrich Rueger,4758584; 4889869; 4914129; 5719141; 6222040; 9550796,A61K; C07D
Molei Wang,9397908,H04L
Eui Jin Shin,10379269,C03C; G02B; H01L; H05B
John R. Zanek,4852560; 4892525,
James Denaro,4094071; 4411415; 5228489; 5277388; 5981937,
Atsushi Onji,11124096; 11299076; 11667220; 12351085; 8840182; 9592750,B60N
Harold Russell Motson,5770550; 6984269; 7481893; 7514396; 7621965; 8003591,
Naveen Paulkandasamy,8195778; 8526404; 9113437; 9955344,H04W
Maneesha Yellepeddi,10205456; 10340923; 10630299; 9148153; 9537495,H03L
Josef Braeu,7936954,
Tae Hoon RYU,11987693; 12377417,B01L; C08J; C08L; C12N; G06F
Greggory Tate Homrighous,9435502,F21S; G09F; Y02B
Sunil Agrawal,10223495; 10354034; 10657507; 10798127; 11251944; 11729160; 11895102; 7315947; 7581106; 7735144; 7774608; 7827399; 7996672; 8005216; 8010784; 8024561; 8099594; 8145909; 8160247; 8165303; 8185741; 8214634; 8219805; 8220035; 8275993; 8341400; 8347087; 8353016; 8385543; 8392709; 8452982; 8533480; 8555078; 8561127; 8566157; 8577811; 8578157; 8635442; 8650396; 8666904; 8687812; 8688997; 8689003; 8707404; 8713322; 8789196; 8793492; 8831228; 8925109; 8959346; 9027143; 9124422; 9225520; 9275401; 9338011; 9338166; 9397988; 9489356; 9705917; 9805211; 9813382,G06F; G06Q; H04L; H04N
"Clyde Edward Van De Venter, Jr.",D478470,
Laurence A. Thompson,10477141; 10897594; 11533534; 4823120; 5065143; 5065231; 5119074; 5838299; 5920197; 5928313; 6380978; 6489998; 6515706; 6587158; 6681059; 6700622; 6829013; 7027099; 7203557; 7215376; 7359624; 7499103; 7710501; 8086067; 8452117; 8891897; 9191700; 9262988; 9699469; 9769417; RE48740; RE48920,G06F; G06T; G09G; G11B; H04L; H04N
Ruochun Huang,10444238; 9897608,G01N
"Bernard E. Berlinger, Jr.",10232701; 10527149; 3949626; 3973449; 4144774; 5318144; 6101892; 6178840; D429186,B60K; F16H; G05D
Hardy Mueller,10350552; 10667933,A61F; B01D
Tetsumi Yamakawa,6335447,
